Country Name,Country Code,Series Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015]
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,1243.113,773.737,1327.454,8463.436,..
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,2086.523,3021.608,4253.72,4598.418,..
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,95294.329,87861.32,107278.085,119177.5,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,425.372,524.381,575.719,517.047,..
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,10975.331,9541.534,19156.408,29057.308,..
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,275.025,344.698,429.039,524.381,..
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,866641.76809488,1045762.394,1318345.172,1645558.916,..
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,127963.632,142136.587,162110.736,187919.082,..
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,3410.31,3465.315,4352.729,4217.05,..
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,1668.485,2379.883,2720.914,2508.228,..
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,281860.288,329443.28,350172.831,390861.863,..
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,59783.101,62283.995,74216.413,67502.136,..
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,33333.03,29508.349,34337.788,30678.122,..
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,1683.153,1668.485,1741.825,1653.817,..
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,14818.347,18643.028,19207.746,29266.327,..
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,22816.074,27869.2,39478.922,59937.115,..
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,828.742,1188.108,1353.123,1477.801,..
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,60773.191,53787.556,59167.045,63043.064,..
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,112327.544,115118.131,108510.197,110824.074,..
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,377.701,396.036,421.705,539.049,..
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,1327.454,1598.812,2394.551,5089.796,..
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,531.715,517.047,583.053,608.722,..
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,249.356,396.036,396.036,487.711,..
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,9849.562,11067.006,12185.441,15203.382,..
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,3428.645,13787.92,16204.473,21275.934,..
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,3047.277,3780.677,4096.039,4686.426,..
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,258347.484,327983.814,347308.904,419754.156,..
British Virgin Islands,VGB,CO2 emissions (kt),EN.ATM.CO2E.KT,84.341,102.676,132.012,172.349,..
Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,4789.102,4712.095,5005.455,8203.079,..
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,58004.606,43530.957,47916.689,44114.01,..
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,627.057,1041.428,1125.769,1961.845,..
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,238.355,271.358,154.014,212.686,..
Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,121.011,216.353,440.04,557.384,..
Cambodia,KHM,CO2 emissions (kt),EN.ATM.CO2E.KT,1551.141,1976.513,2775.919,5012.789,..
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,4228.051,3432.312,3696.336,6780.283,..
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,467637.842,534380.909,557417.003,534670.602,..
Caribbean small states,CSS,CO2 emissions (kt),EN.ATM.CO2E.KT,33692.396,42493.196,56746.825,64792.223,..
Cayman Islands,CYM,CO2 emissions (kt),EN.ATM.CO2E.KT,363.033,465.709,473.043,557.384,..
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,234.688,267.691,234.688,264.024,..
Central Europe and the Baltics,CEB,CO2 emissions (kt),EN.ATM.CO2E.KT,829141.703,716172.434,741020.026,712993.145,..
Chad,TCD,CO2 emissions (kt),EN.ATM.CO2E.KT,110.01,176.016,399.703,517.047,..
Channel Islands,CHI,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..
Chile,CHL,CO2 emissions (kt),EN.ATM.CO2E.KT,41745.128,58815.013,61818.286,72250.901,..
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,3320285.15,3405179.867,5896957.705,8776040.416,..
Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,59614.419,57923.932,60945.54,76174.591,..
Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,73.34,102.676,139.346,161.348,..
"Congo, Dem. Rep.",COD,CO2 emissions (kt),EN.ATM.CO2E.KT,2123.193,814.074,1499.803,2020.517,..
"Congo, Rep.",COG,CO2 emissions (kt),EN.ATM.CO2E.KT,1565.809,1048.762,982.756,1980.18,..
Costa Rica,CRI,CO2 emissions (kt),EN.ATM.CO2E.KT,4866.109,5474.831,6868.291,7568.688,..
Cote d'Ivoire,CIV,CO2 emissions (kt),EN.ATM.CO2E.KT,6618.935,6791.284,7825.378,6967.3,..
Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,16985.544,19339.758,22592.387,20172.167,..
Cuba,CUB,CO2 emissions (kt),EN.ATM.CO2E.KT,25709.337,26083.371,26006.364,38375.155,..
Curacao,CUW,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..
Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,5383.156,6930.63,7502.682,7708.034,..
Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,123830.923,123849.258,120108.918,111579.476,..
Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,57172.197,51330.666,47095.281,46640.573,..
Djibouti,DJI,CO2 emissions (kt),EN.ATM.CO2E.KT,304.361,341.031,414.371,517.047,..
Dominica,DMA,CO2 emissions (kt),EN.ATM.CO2E.KT,80.674,102.676,117.344,139.346,..
Dominican Republic,DOM,CO2 emissions (kt),EN.ATM.CO2E.KT,15885.444,19790.799,18639.361,21022.911,..
Early-demographic dividend,EAR,CO2 emissions (kt),EN.ATM.CO2E.KT,3500968.89484118,4236793.128,5002701.083,6167446.626,..
East Asia & Pacific,EAS,CO2 emissions (kt),EN.ATM.CO2E.KT,6122092.9773115,6547512.56528968,9373914.30299666,12584718.1847754,..
East Asia & Pacific (excluding high income),EAP,CO2 emissions (kt),EN.ATM.CO2E.KT,3996721.66463895,4197275.78659543,6940455.83668431,10039666.1048751,..
East Asia & Pacific (IDA & IBRD),TEA,CO2 emissions (kt),EN.ATM.CO2E.KT,3938024.74920197,4127761.88782158,6864976.032,9973224.241,..
Ecuador,ECU,CO2 emissions (kt),EN.ATM.CO2E.KT,22841.743,20718.55,30263.751,36460.981,..
"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,95723.368,141326.18,167207.866,202715.427,..
El Salvador,SLV,CO2 emissions (kt),EN.ATM.CO2E.KT,5027.457,5742.522,6453.92,6457.587,..
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,128.345,454.708,4712.095,4679.092,..
Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,935.085,608.722,766.403,513.38,..
Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,17520.926,14858.684,16754.523,18107.646,..
Eswatini,SWZ,CO2 emissions (kt),EN.ATM.CO2E.KT,454.708,1188.108,1019.426,1037.761,..
Ethiopia,ETH,CO2 emissions (kt),EN.ATM.CO2E.KT,2563.233,3549.656,5119.132,6585.932,..
Euro area,EMU,CO2 emissions (kt),EN.ATM.CO2E.KT,2567956.096,2637002.039,2750877.057,2496137.901,..
Europe & Central Asia,ECS,CO2 emissions (kt),EN.ATM.CO2E.KT,6775802.78453957,6557163.78278288,6866418.07528219,6703823.28491672,..
Europe & Central Asia (excluding high income),ECA,CO2 emissions (kt),EN.ATM.CO2E.KT,2935576.62400308,2693323.97299886,2881292.04656273,3014100.88508742,..
Europe & Central Asia (IDA & IBRD),TEC,CO2 emissions (kt),EN.ATM.CO2E.KT,3296902.11539644,3011827.02433982,3205989.70907232,3350142.78895668,..
European Union,EUU,CO2 emissions (kt),EN.ATM.CO2E.KT,3947855.53,3911984.936,4039746.883,3709775.555,..
Faeroe Islands,FRO,CO2 emissions (kt),EN.ATM.CO2E.KT,572.052,689.396,722.399,630.724,..
Fiji,FJI,CO2 emissions (kt),EN.ATM.CO2E.KT,762.736,843.41,1096.433,1221.111,..
Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,52713.125,52427.099,54645.634,62082.31,..
Fragile and conflict affected situations,FCS,CO2 emissions (kt),EN.ATM.CO2E.KT,240213.167873646,258540.059219799,324231.339482608,365200.491478033,..
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,349160.739,362226.26,385368.697,353033.091,..
French Polynesia,PYF,CO2 emissions (kt),EN.ATM.CO2E.KT,429.039,568.385,821.408,858.078,..
Gabon,GAB,CO2 emissions (kt),EN.ATM.CO2E.KT,4624.087,4693.76,4888.111,4811.104,..
"Gambia, The",GMB,CO2 emissions (kt),EN.ATM.CO2E.KT,198.018,245.689,293.36,432.706,..
Georgia,GEO,CO2 emissions (kt),EN.ATM.CO2E.KT,2302.876,4536.079,5067.794,6314.574,..
Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,864110.215,829977.779,797180.131,758859.981,..
Ghana,GHA,CO2 emissions (kt),EN.ATM.CO2E.KT,5276.813,6288.905,6992.969,9955.905,..
Gibraltar,GIB,CO2 emissions (kt),EN.ATM.CO2E.KT,275.025,333.697,399.703,465.709,..
Greece,GRC,CO2 emissions (kt),EN.ATM.CO2E.KT,78781.828,91616.328,98675.303,83856.956,..
Greenland,GRL,CO2 emissions (kt),EN.ATM.CO2E.KT,502.379,531.715,608.722,663.727,..
Grenada,GRD,CO2 emissions (kt),EN.ATM.CO2E.KT,150.347,190.684,216.353,260.357,..
Guam,GUM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..
Guatemala,GTM,CO2 emissions (kt),EN.ATM.CO2E.KT,7165.318,9915.568,12570.476,11664.727,..
Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,1290.784,1642.816,1826.166,2603.57,..
Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,183.35,146.68,212.686,238.355,..
Guyana,GUY,CO2 emissions (kt),EN.ATM.CO2E.KT,1463.133,1609.813,1437.464,1719.823,..
Haiti,HTI,CO2 emissions (kt),EN.ATM.CO2E.KT,902.082,1367.791,2075.522,2126.86,..
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (kt),EN.ATM.CO2E.KT,70600.751,77062.005,100772.827,139386.337,..
High income,HIC,CO2 emissions (kt),EN.ATM.CO2E.KT,12265205.244883,13307528.3030047,13816625.3463484,13509175.7710678,..
Honduras,HND,CO2 emissions (kt),EN.ATM.CO2E.KT,3879.686,5031.124,7554.02,7975.725,..
"Hong Kong SAR, China",HKG,CO2 emissions (kt),EN.ATM.CO2E.KT,31470.194,40439.676,43871.988,40678.031,..
