Countries;GDP;Unemployment rate;Population
Austria;533147;7.1;8958961
Belgium;657821;5.8;11686140
Bulgaria;107427;5.2;6687717
Croatia;88646;4.7;4008617
Cyprus;34221;4.5;1260138
Czech Republic;343023;3.9;10495295
Denmark;401531;2.6;5910913
Estonia;42778;7.4;1322766
Finland;308055;8.1;5545475
France;3156325;7.4;64756584
Germany;4683233;6.1;83294633
Greece;250615;9.8;10341277
Hungary;226413;4.6;9604000
Ireland;559246;4.1;5056935
Italy;2365541;5.8;58870763
Latvia;45245;6.7;1830212
Lithuania;82064;8.7;2718352
Luxembourg;90414;5.8;654768
Malta;24095;3.1;535065
Netherlands;1209072;3.7;17618299
Poland;908561;4.9;41026068
Portugal;300711;6.6;10247605
Romania;376243;5.4;19892812
Slovakia;141144;4.9;5795199
Slovenia;72607;4.4;2119675
Spain;1715229;11.1;47519628
Sweden;605506;8.4;10612086
