STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SEO,Socio-economic objectives,FUNDMODE,Funding mode,TRANSCOORD,Transnationally coordinated research,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,AUX_OBS_STATUS_2,Aux observation status 2,AUX_OBS_STATUS_3,Aux observation status 3,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base Period,CURRENCY,Currency,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,TUR,Türkiye,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,20477.38,,,,,,,,,,,,,,,,6,Millions,,,TRY,Turkish lira,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,SWE,Sweden,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,34389.42238,,,,,,,,,,,,,,,,6,Millions,,,SEK,Swedish krona,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,7666.732656,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,AUD,Australian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,7474.995511,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,AUD,Australian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2019,,7641.97,,D,Definition differs,,,,,,,,,,,,,6,Millions,,,AUD,Australian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,AUS,Australia,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2020,,9200.915887,,D,Definition differs,P,Provisional value,,,,,,,,,,,6,Millions,,,AUD,Australian dollar,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BGR,Bulgaria,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2015,,212.47,,,,,,,,,,,,,,,,6,Millions,,,BGN,Bulgarian lev,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BGR,Bulgaria,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2016,,187.47,,,,,,,,,,,,,,,,6,Millions,,,BGN,Bulgarian lev,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BGR,Bulgaria,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2017,,214.27,,,,,,,,,,,,,,,,6,Millions,,,BGN,Bulgarian lev,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BGR,Bulgaria,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2018,,223.17,,,,,,,,,,,,,,,,6,Millions,,,BGN,Bulgarian lev,3,Three
DATAFLOW,OECD.STI.STP:DSD_RDS_GOV@DF_GBARD_NABS07(1.0),Government budget allocations for R&D,I,BGR,Bulgaria,A,Annual,C,Government Allocations for R&D (GBARD),_T,Total,_T,Total,_Z,Not applicable,XDC,National currency,_Z,Not applicable,2019,,267.31,,,,,,,,,,,,,,,,6,Millions,,,BGN,Bulgarian lev,3,Three
