Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,2614.571,2438.555,1393.46,1345.789,1294.451,1243.113,1177.107,1096.433,1041.428,821.408,773.737,817.741,1070.764,1195.442,949.753,1327.454,1650.15,2273.54,4206.049,6769.282,8463.436,12240.446,10755.311,10014.577,9809.225,..
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,5515.168,4286.723,2515.562,2335.879,1925.175,2086.523,2016.85,1543.807,1752.826,2984.938,3021.608,3223.293,3751.341,4294.057,4165.712,4253.72,3898.021,3927.357,4374.731,4378.398,4598.418,5240.143,4910.113,5064.127,5716.853,..
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,76970.33,79049.519,80138.618,82210.473,86416.522,95294.329,97098.493,87340.606,106999.393,92045.367,87861.32,84219.989,89907.506,91575.991,88510.379,107278.085,101069.854,109404.945,110208.018,121399.702,119177.5,121187.016,129987.816,134465.223,145400.217,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,407.037,407.037,407.037,410.704,407.037,425.372,454.708,465.709,491.378,513.38,524.381,524.381,531.715,535.382,561.051,575.719,546.383,539.049,539.049,517.047,517.047,491.378,487.711,476.71,462.042,..
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,5115.465,5089.796,5196.139,5775.525,3890.687,10975.331,10458.284,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,25709.337,27792.193,29057.308,30340.758,33399.036,32617.965,34763.16,..
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,282.359,267.691,264.024,271.358,267.691,275.025,293.36,308.028,319.029,330.03,344.698,348.365,370.367,403.37,421.705,429.039,443.707,469.376,480.377,509.713,524.381,513.38,524.381,524.381,531.715,..
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,671736.062165277,740323.235533382,795658.904744996,877890.137902134,901869.050185308,866641.76809488,862033.825342789,833006.721,906420.061,919932.956,1045762.394,1040650.596,1062153.884,1143168.915,1252559.192,1318345.172,1381941.953,1359855.612,1491970.288,1581327.744,1645558.916,1655808.181,1796962.012,1775095.691,1895700.3207852,..
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,112147.861,117098.311,121352.031,117927.053,122408.127,127963.632,135000.605,138003.878,139815.376,146984.361,142136.587,133720.822,124714.67,135062.944,157589.325,162110.736,175436.614,175176.257,189107.19,179961.692,187919.082,191633.753,192356.152,189851.591,204024.546,..
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,5826.863,2555.899,2706.246,3410.31,2563.233,3234.294,3362.639,3014.274,3465.315,3542.322,3043.61,3428.645,3644.998,4352.729,4382.065,5064.127,5559.172,4360.063,4217.05,4917.447,5694.851,5496.833,5529.836,..
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,1639.149,1683.153,1463.133,1595.145,1613.48,1668.485,1690.487,1745.492,1796.83,1807.831,2379.883,2409.219,2438.555,2563.233,2618.238,2720.914,2717.247,2823.59,2658.575,2629.239,2508.228,2500.894,1349.456,861.745,872.746,..
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,263704.971,261471.768,267984.36,277397.549,278119.948,281860.288,302164.467,305794.797,316883.805,325343.574,329443.28,324844.862,341353.696,336271.234,342699.485,350172.831,365346.877,372090.49,385904.079,394792.887,390861.863,391818.95,388126.281,372266.506,361261.839,..
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,57685.577,61605.6,56658.817,57102.524,57054.853,59783.101,63178.743,62658.029,63662.787,61869.624,62283.995,65888.656,67073.097,72195.896,72390.247,74216.413,72162.893,69735.339,69027.608,62731.369,67502.136,65019.577,62272.994,62485.68,58712.337,..
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,56240.779,48452.071,41976.149,33333.03,31257.508,29809.043,31675.546,28576.931,29508.349,28771.282,29614.692,30615.783,32089.917,34337.788,39167.227,30509.44,35503.894,31902.9,30678.122,33446.707,35555.232,35643.24,37487.741,..
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,1950.844,1782.162,1793.163,1701.488,1686.82,1683.153,1668.485,1364.124,1679.486,1675.819,1668.485,1569.476,1576.81,1518.138,1723.49,1741.825,1664.818,1690.487,1496.136,1642.816,1653.817,1866.503,1969.179,2801.588,2416.553,..
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,12427.463,11877.413,10901.991,14642.331,14789.011,14818.347,15621.42,17319.241,18404.673,18019.638,18643.028,13927.266,15698.427,16468.497,17509.925,19207.746,18830.045,26846.107,29768.706,28217.565,29266.327,28650.271,26673.758,31312.513,31338.182,..
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,15533.412,15940.449,17748.28,17407.249,18969.391,22816.074,24029.851,25063.945,24048.186,25236.294,27869.2,32456.617,33707.064,35672.576,37704.094,39478.922,43541.958,44381.701,49511.834,53736.218,59937.115,63413.431,67505.803,69709.67,73189.653,..
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1074.431,1206.443,979.089,1114.768,748.068,828.742,850.744,902.082,1140.437,1210.11,1188.108,1221.111,1228.445,1268.782,1294.451,1353.123,1371.458,1364.124,1620.814,1617.147,1477.801,1529.139,1470.467,1448.465,1272.449,..
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,87417.613,76768.645,65056.247,60773.191,60164.469,59555.747,58099.948,56112.434,53787.556,52760.796,52405.097,53530.866,58158.62,59167.045,62071.309,60523.835,63105.403,61220.565,63043.064,64062.49,63222.747,63769.13,63497.772,..
