Country Name,Country Code,Series Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020],2023 [YR2023]
Afghanistan,AFG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,435773347.55,577859765.734545,776734541.770538,..
Afghanistan,AFG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,4688147551.76784,7246177416.44332,5877640990.86802,..
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,204900000,95200000,194117835.566333,739411255.845597,855336790.675651,908550736.111017,1984343529.9053
Albania,ALB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,679700000,921000000,2117458690.17944,3775932875.84848,3403344744.61318,4328412668.93892,6895967997.71277
Algeria,DZA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,46333999999.9979,57098374720.2374,34449182417.5878,21914992637.4198,54985402692.3275
Algeria,DZA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,19816999999.9991,38797066194.14,52261207236.1659,34907242968.8532,42851913054.6296
American Samoa,ASM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,..,..
American Samoa,ASM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,..,..
Andorra,AND,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,..,..,..,169400776.664891,..
Andorra,AND,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,..,..,..,1222357790.72573,..
Angola,AGO,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,3722700000,7920710000,24109411611,50594853215.38,33181130225.6441,20937437117.7636,36884699366.8234
Angola,AGO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1467668000,3039510000,8353237654.472,16666858026.86,20692537061.32,9543140272.92,15084852031.75
Antigua and Barbuda,ATG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,53144444.4444444,52353966.6666667,82670221.4814815,45715381.1111111,67572501.5259259,37147484.898533,94311362.962963
Antigua and Barbuda,ATG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,291040740.740741,342390740.740741,455354766.666667,453883552.962963,426109557.430667,440324785.293741,745674214.444444
Argentina,ARG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,21141832000,26337200000,40434150000,68305873000,56809053493,54945509698.7797,66836201990.6802
Argentina,ARG,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,18804317000,23889100000,27300100000,54158763701.51,57594229885.62,40314811521.6899,69773052502.0298
Armenia,ARM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,275019740,313760102,1028698417,1197479193.0037,1623898609.17599,2718848499.94558,8647855412.09876
Armenia,ARM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,674059047,780696904,1663370578.31,3263209401.5128,2810299283.12177,4101001972.86611,11162507846.3514
Aruba,ABW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1346145251.39665,234692737.430168,4416215839.35408,264525139.664804,329660020.49489,87331576.4179748,..
Aruba,ABW,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,926927374.301676,858039106.145252,4296239004.22802,1394245810.05587,1250416885.9957,863180742.564721,..
Australia,AUS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,53307054295.3491,64039984645.4577,106941616296.545,213809938353.332,188212275427.047,251010956094.74,371858038943.585
Australia,AUS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,57543973204.52,68928612290.7895,121206968219.66,202384819753.768,207225205215.02,211738991039.134,288438253710.083
Austria,AUT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,..,..,114048373178.307,145030989197.691,143205030129.221,159252631912.499,213613846729.938
Austria,AUT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,..,..,113094169446.216,146871813411.977,140773144939.041,154132854585.314,209294442697.005
Azerbaijan,AZE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,612343000,1858335000,7398064000,25741126000,15586052000,12588158000,29202114000
Azerbaijan,AZE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,985432000,1539005000,4151643000,6306941000,9773629000,10076564000,16396551000
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,225400000,464800000,549132570,702435000,520531829.165,431367905.486716,861501553.901773
"Bahamas, The",BHS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1156700000,1983100000,2377432028.185,2591499000,2954035032.73304,2023990102.07208,4074795544.59843
Bahrain,BHR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,4114362021.28252,6194946808.51064,10242021276.5957,13647074468.0851,16540425531.9149,14065691489.3617,24813563829.7872
Bahrain,BHR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3488298142.93093,4375292553.19149,8870744680.85106,11190425531.9149,15709574468.0851,14192819148.9362,20310904255.3191
Bangladesh,BGD,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,3733288293.67246,6398441702.82782,9054546739.81248,19209407428.1808,31736035719.1971,32456147196.7468,52506389571.7054
Bangladesh,BGD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6057382131.99787,8025436323.20821,12343724235.1304,25081635495.4849,37856277963.4514,48849737649.4388,62158521294.3891
Barbados,BRB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,239800000,316141999,508125675.77,722478470.29858,939688878.519405,..,..
